"Municipality","Car","Car passenger","Rail","Bus/Tram/Metro","Bicycle","Walk","gm_code"
164,18.6237919927668,4.00530612754369,110.925354046864,0,5.3039215558707,4.05796982135923,"GM0164"
166,24.4236646253075,23.5827250981781,58.6955971941045,0,4.03606958711001,0,"GM0166"
168,18.4491099263108,0,0,0,5.89506406304742,0,"GM0168"
171,27.0585889052975,25.8078033406991,0,71.8,3.42334083831393,3.99813476429017,"GM0171"
173,22.2975261203717,6.2,0,0,4.09869712262882,2.5,"GM0173"
175,16.0524027634565,0,32,0,3.57846000430393,0,"GM0175"
177,26.4196283070379,36.7058905192079,117.5,0,1.75627350756383,1.3,"GM0177"
180,12.4537257109745,1,0,0,2.4,0,"GM0180"
183,22.0420145972346,7,0,0,3.34337534055935,0,"GM0183"
184,24.7358351007671,62.418376863397,0,0,2.98268389416225,1.28021627171207,"GM0184"
189,47.2658972885439,6,0,0,2.90804329582562,0.7,"GM0189"
193,28.8184820909652,14.6514711903279,87.6062413826207,8.57521101961884,4.13464882853225,4,"GM0193"
196,21.4579381317246,70,20,0,0,0,"GM0196"
197,17.4167100705654,13.8,0,0,4.47043930803118,0,"GM0197"
200,18.682144757574,9,70.9409303572027,3.6,3.4399620986265,0.62030325769602,"GM0200"
202,30.0737982077097,27.46446152606,43.4837382419611,11.2226594835355,3.92273830183899,0.843432836440668,"GM0202"
203,11.2395189558979,18.5,40,0,2.78538230234329,5,"GM0203"
209,67.9929879170531,8,0,8.8,6.43027755994295,0,"GM0209"
213,18.014141159626,2.5,16.25,0,2.10986235553416,0.687511113255772,"GM0213"
214,14.6444054771823,9.03770973679871,0,0,0,0,"GM0214"
216,15.7174021757953,7.5,35.4298198918699,0,2.99501507264241,0.3,"GM0216"
221,17,0,0,0,0,0,"GM0221"
222,16.6586210019927,10,0,0,3.13978173771545,11.0291445904064,"GM0222"
225,28.7957660273818,0,0,0,1,2,"GM0225"
226,10.2525016897801,0,10.6043510617941,0,6.80003204460235,0,"GM0226"
228,18.1892037423071,23.9,12.4,0,3.44206838918384,0.3,"GM0228"
230,11.3554620032467,0,0,0,0.594653935626688,0,"GM0230"
232,10.0396103280753,0,130.1,0,1.02195369774533,0,"GM0232"
233,13.9612948265918,0,35,0,3.06890412900937,0,"GM0233"
