"Municipality","Car","Car passenger","Rail","Bus/Tram/Metro","Bicycle","Walk","gm_code"
265,0.197396232811726,0.452283252254406,0,0,0,0.116773504977956,"GM0265"
267,0.792567827772839,0,0,0,0.207432172227161,0,"GM0267"
268,0.504165889243314,0.039007411594568,0.0744046168229227,0.00372665245250269,0.298225182370759,0.0635719169666404,"GM0268"
269,0.538105506837649,0.130601579511542,0.0819242367242057,0,0.249368676926603,0,"GM0269"
273,0.315632756130582,0.0397591456083207,0,0,0.644608098261097,0,"GM0273"
274,0.553352606433835,0,0.0653993095721116,0,0.180949175650151,0.200298908343902,"GM0274"
275,0.526759937593791,0.081330677554241,0,0.0617752007233003,0.280866739509273,0.0492674446193949,"GM0275"
279,0.559701266117507,0.124259917600983,0,0,0.31603881628151,0,"GM0279"
281,0.813871680787377,0,0,0,0.186128319212623,0,"GM0281"
282,0.682188843443639,0.113106865789889,0,0.0485157705680376,0.107672749630397,0.0485157705680376,"GM0282"
285,0.302363590233739,0.18372767694604,0,0,0.400647402888237,0,"GM0285"
289,0.39134946875489,0,0,0.104035303710593,0.384969735372147,0.119645492162371,"GM0289"
293,0.571214698065426,0.0897615912513129,0.127041922768577,0.0849519849219446,0.127029802992739,0,"GM0293"
294,0.497502353051908,0,0,0,0.275652557779685,0,"GM0294"
296,0.804757782898771,0.0496484458478428,0.0068112379231385,0,0.138782533330248,0,"GM0296"
297,0.50726625571444,0.0339818504362838,0.0487520618831494,0,0.271952620022899,0,"GM0297"
299,0.774065223438639,0.0327739310777859,0,0,0.193160845483575,0,"GM0299"
301,0.463522724634684,0,0,0,0.394688887598714,0.141788387766602,"GM0301"
302,0.458392160918398,0.187272188511673,0,0,0.299416273778187,0,"GM0302"
303,0.71164777852881,0.0340091452842268,0.017171957947707,0.0121429114282806,0.188944540579284,0.0189835094834699,"GM0303"
304,0.744135876470151,0,0,0,0.255864123529849,0,"GM0304"
307,0.512176832387927,0.0453553320234193,0.0846570259450181,0.0448822256011978,0.184596972992612,0.092066141963437,"GM0307"
308,0.531734208844658,0.153823406630176,0,0,0.314442384525166,0,"GM0308"
310,0.450346232095456,0.0625797625539764,0.0675023654479878,0,0.398455157541706,0.0211164823608739,"GM0310"
312,0.386254794526456,0.190286013446087,0,0.185074085447031,0.238385106580426,0,"GM0312"
313,0.493896830513386,0.222300788465671,0.0597489656439789,0,0.0513098176581046,0,"GM0313"
317,0.68312761663564,0.10562412778812,0,0,0,0.21124825557624,"GM0317"
321,0.445820002195656,0,0.0823747462696343,0.0934380426694416,0.25470704671181,0.0629509199330914,"GM0321"
327,0.728332348105603,0,0.117082942694577,0,0.15458470919982,0,"GM0327"
331,0.23874677816644,0,0.148818558947026,0.261644151056006,0.350790511830528,0,"GM0331"
335,0.912333324613077,0,0,0,0.0876666753869226,0,"GM0335"
339,0.493058432618068,0,0.23651447854807,0,0.270427088833862,0,"GM0339"
340,0.595877591812428,0,0,0,0.0939135656599401,0,"GM0340"
342,0.563548863146728,0,0.106117122637561,0,0.238423130880547,0.091910883335164,"GM0342"
344,0.421378508976726,0.0186310716782867,0.172675137960809,0.0318681924974767,0.259962690365594,0.0849612266267575,"GM0344"
345,0.602963988183174,0,0.0600175337091945,0,0.328629019361325,0.00838945874630626,"GM0345"
351,0.73696108774957,0,0,0,0,0.0843804584030496,"GM0351"
352,0.650072869203204,0,0,0.154304951767711,0.147279561066052,0,"GM0352"
353,0.668893174976797,0,0,0,0.202553634864512,0,"GM0353"
355,0.457674128559023,0.0845247604109387,0,0.0297948624190798,0.366206864745797,0.0617993838651613,"GM0355"
356,0.491118758581797,0.0623891703578977,0.0525777151629292,0.134078896263621,0.186951899889924,0.0151910321353577,"GM0356"
358,0.711579031656455,0,0.0282149502030355,0.0745436487707672,0.0973523577080183,0,"GM0358"
361,0.394386810692606,0.0290048416102564,0.135840541134197,0.00791650256244307,0.366933253846801,0.0580783229340449,"GM0361"
362,0.523092409288643,0.0466690467342132,0,0.171348762987881,0.176953336574583,0,"GM0362"
363,0.231419985513689,0.0374641129160523,0.117993096449435,0.154246272204179,0.351466259536666,0.0695318635638653,"GM0363"
365,0.79456866812631,0,0.20543133187369,0,0,0,"GM0365"
370,1,0,0,0,0,0,"GM0370"
373,0.674639383317552,0.213931038465281,0,0,0.111429578217167,0,"GM0373"
375,0.574305974517277,0.0552202850572608,0.138470162548606,0,0.209546929952455,0.0224566479244011,"GM0375"
376,0.542999103741594,0.0777282285668797,0,0,0.379272667691527,0,"GM0376"
377,0.595661918179248,0,0.139738645173694,0,0.264599436647058,0,"GM0377"
381,0.531081374914192,0,0.306476952956952,0,0.162441672128857,0,"GM0381"
383,0.400354605532641,0,0.0684697890701255,0,0.482984168619332,0.048191436777902,"GM0383"
384,0.510075531492879,0.06742460834496,0.169423840040942,0,0.160712748717734,0.0307877571344952,"GM0384"
385,0.320376055635875,0.0533956610948989,0,0.1247395734473,0.370684646969134,0.0555597559412739,"GM0385"
388,0.556333229419866,0.0571960630718299,0.148543728228013,0,0.184951681573658,0,"GM0388"
392,0.498140017611936,0.0217305392119734,0.133070457945912,0.0946256354266202,0.19174828325316,0.0313974921008291,"GM0392"
393,0.346796816156778,0,0,0,0.653203183843222,0,"GM0393"
394,0.621703399002381,0.00786927795445425,0.0519879168704412,0.0966991112576288,0.169870203830827,0,"GM0394"
395,0.873534892022833,0,0,0,0,0.126465107977167,"GM0395"
396,0.512986009277174,0.031398876450916,0.0881881355051305,0,0.308754926180025,0,"GM0396"
397,0.569784058066522,0,0.162134050898029,0,0.268081891035448,0,"GM0397"
398,0.522387288068244,0,0.155948708233354,0.0761646743303097,0.245499329368093,0,"GM0398"
399,0.31637484941884,0.114971190773806,0.0526756080574671,0,0.387419215657322,0.0212581874861629,"GM0399"
400,0.428074293733818,0.151457252039342,0.0844905156646095,0,0.252651985992217,0.0833259525700136,"GM0400"
402,0.388202208069546,0.0469109557950648,0.189314259087341,0,0.28236679779364,0.061079329956398,"GM0402"
405,0.50538812296225,0.0801891920719886,0.109126847365083,0.0130632014062365,0.210553036119483,0.0359985675414367,"GM0405"
406,0.658162161102686,0,0,0.0520224559113474,0.148875211113112,0.103941898406594,"GM0406"
415,0.234728702751311,0,0.105796556720737,0,0.371665516586559,0,"GM0415"
416,0.80554702671488,0.0420069446129686,0,0,0.152446028672151,0,"GM0416"
